id,text,label,source,length,has_threat,sentiment_hint
David_000,"Whatever. It’s your life.  You know that, right?",passive_aggressive,David,48,False,negative
Jack_001,Nothing. I’m fine.  Just saying.,silent_treatment,Jack,32,False,negative
Bob_002,Thanks for remembering I exist.  Please.,passive_aggressive,Bob,40,False,negative
Jack_003,You're always starting fights.  Okay?,blame_shifting,Jack,37,False,negative
Eve_004,You'll regret this.  Please.,threat,Eve,28,True,negative
Eve_005,"You made me act this way.  You know that, right?",blame_shifting,Eve,48,False,negative
Ivy_006,"After everything I did for you, this is how you repay me?",guilt_trip,Ivy,57,False,negative
Charlie_007,You’re too sensitive.,gaslighting,Charlie,21,False,negative
Eve_008,"Let’s go out for dinner.  You know that, right?",neutral,Eve,47,False,neutral
Charlie_009,You'll be sorry you ever left.  Just saying.,threat,Charlie,44,True,negative
Charlie_010,"Thanks for remembering I exist.  You know that, right?",passive_aggressive,Charlie,54,False,negative
David_011,Don't talk to me.  Just saying.,silent_treatment,David,31,False,negative
Henry_012,That never happened. You're imagining things.,gaslighting,Henry,45,False,negative
Charlie_013,You'll regret this.,threat,Charlie,19,True,negative
Bob_014,I hope you're proud of yourself.,passive_aggressive,Bob,32,False,negative
Grace_015,It’s always your fault.,blame_shifting,Grace,23,False,negative
Jack_016,I hope you're proud of yourself.  Okay?,passive_aggressive,Jack,39,False,negative
Jack_017,"Sure, I’m not upset. Why would I be?  Okay?",passive_aggressive,Jack,43,False,negative
Grace_018,"I don’t feel like talking.  You know that, right?",silent_treatment,Grace,49,False,negative
Grace_019,"You made me act this way.  You know that, right?",blame_shifting,Grace,48,False,negative
Grace_020,"You never appreciate anything I do.  You know that, right?",guilt_trip,Grace,58,False,negative
Alice_021,Nothing. I’m fine.  Please.,silent_treatment,Alice,27,False,negative
Jack_022,"If you leave me, I’ll hurt myself.",threat,Jack,34,True,negative
David_023,You made me act this way.  Just saying.,blame_shifting,David,39,False,negative
Ivy_024,"After everything I did for you, this is how you repay me?  You know that, right?",guilt_trip,Ivy,80,False,negative
David_025,"You always overreact.  You know that, right?",gaslighting,David,44,False,negative
Grace_026,"Sure, I’m not upset. Why would I be?  Please.",passive_aggressive,Grace,45,False,negative
Henry_027,You'll be sorry you ever left.  Okay?,threat,Henry,37,True,negative
Ivy_028,"After everything I did for you, this is how you repay me?  Okay?",guilt_trip,Ivy,64,False,negative
Grace_029,I’m heading to the gym.,neutral,Grace,23,False,neutral
Jack_030,Nothing. I’m fine.  Just saying.,silent_treatment,Jack,32,False,negative
Eve_031,I guess I just don't matter to you anymore.  Please.,guilt_trip,Eve,52,False,negative
Jack_032,"I don’t feel like talking.  You know that, right?",silent_treatment,Jack,49,False,negative
Jack_033,Good morning! Have a great day.,neutral,Jack,31,False,neutral
Henry_034,"I don’t feel like talking.  You know that, right?",silent_treatment,Henry,49,False,negative
Henry_035,Let’s go out for dinner.  Just saying.,neutral,Henry,38,False,neutral
Alice_036,You always overreact.  Okay?,gaslighting,Alice,28,False,negative
Bob_037,"Sure, I’m not upset. Why would I be?",passive_aggressive,Bob,36,False,negative
Eve_038,Don't talk to me.,silent_treatment,Eve,17,False,negative
Henry_039,Nothing. I’m fine.  Just saying.,silent_treatment,Henry,32,False,negative
Alice_040,"If you hadn’t done that, I wouldn’t be like this.",blame_shifting,Alice,49,False,negative
Alice_041,You're always starting fights.,blame_shifting,Alice,30,False,negative
Henry_042,Don't talk to me.  Please.,silent_treatment,Henry,26,False,negative
Ivy_043,You’re the reason everything is ruined.  Okay?,blame_shifting,Ivy,46,False,negative
